"¿–’»¬ «Õ¿◊≈Õ»… ROISFIX c 16-04-2025 ÔÓ 15-04-2011";"";"";"";"";"";"";"";"";
"ƒ‡Ú‡ ÒÚ‡‚ÍË";"1W";"2W";"1M";"2M";"3M";"6M";"1Y";"2Y";
"16-04-2025";"21,30";"21,31";"21,34";"21,34";"21,31";"21,26";"20,40";"18,19";
"15-04-2025";"21,45";"21,40";"21,41";"21,42";"21,36";"21,29";"20,46";"18,23";
"14-04-2025";"21,42";"21,41";"21,42";"21,44";"21,39";"21,36";"20,54";"18,23";
"11-04-2025";"21,43";"21,42";"21,42";"21,44";"21,44";"21,43";"20,62";"18,25";
"10-04-2025";"21,42";"21,41";"21,42";"21,44";"21,51";"21,59";"20,78";"18,15";
"09-04-2025";"21,43";"21,41";"21,42";"21,44";"21,52";"21,64";"20,79";"18,16";
"08-04-2025";"21,43";"21,41";"21,43";"21,45";"21,52";"21,67";"20,82";"18,23";
"07-04-2025";"21,43";"21,42";"21,43";"21,46";"21,52";"21,68";"20,85";"18,18";
"04-04-2025";"21,44";"21,42";"21,42";"21,45";"21,52";"21,70";"20,88";"18,08";
"03-04-2025";"21,41";"21,41";"21,37";"21,40";"21,48";"21,68";"20,86";"17,94";
"02-04-2025";"21,42";"21,41";"21,37";"21,38";"21,45";"21,53";"20,78";"17,66";
"01-04-2025";"21,42";"21,40";"21,36";"21,37";"21,44";"21,50";"20,76";"17,62";
"31-03-2025";"21,41";"21,38";"21,32";"21,32";"21,37";"21,41";"20,66";"17,57";
"28-03-2025";"21,32";"21,31";"21,29";"21,27";"21,26";"21,19";"20,53";"17,46";
"27-03-2025";"21,40";"21,38";"21,30";"21,26";"21,12";"21,06";"20,47";"17,39";
"26-03-2025";"21,38";"21,38";"21,28";"21,22";"21,04";"20,87";"20,38";"17,40";
"25-03-2025";"21,39";"21,37";"21,29";"21,22";"21,04";"20,88";"20,36";"17,36";
"24-03-2025";"21,38";"21,35";"21,28";"21,22";"21,04";"20,83";"20,31";"17,32";
"21-03-2025";"21,34";"21,32";"21,28";"21,08";"20,84";"20,69";"20,21";"17,33";
"20-03-2025";"21,33";"21,32";"21,29";"21,10";"20,86";"20,71";"20,24";"17,35";
"19-03-2025";"21,33";"21,31";"21,30";"21,14";"20,94";"20,83";"20,35";"17,40";
"18-03-2025";"21,33";"21,30";"21,28";"21,14";"20,96";"20,87";"20,35";"17,39";
"17-03-2025";"21,31";"21,30";"21,27";"21,13";"20,99";"20,93";"20,44";"17,45";
"14-03-2025";"21,33";"21,31";"21,28";"21,17";"21,01";"20,94";"20,46";"17,45";
"13-03-2025";"21,31";"21,29";"21,28";"21,21";"21,08";"21,02";"20,53";"17,50";
"12-03-2025";"21,33";"21,32";"21,28";"21,19";"21,11";"21,03";"20,53";"17,53";
"11-03-2025";"21,32";"21,32";"21,28";"21,20";"21,11";"21,05";"20,53";"17,53";
"10-03-2025";"21,31";"21,32";"21,27";"21,21";"21,15";"21,05";"20,54";"17,53";
"07-03-2025";"21,28";"21,30";"21,24";"21,21";"21,16";"21,06";"20,58";"17,65";
"06-03-2025";"21,19";"21,19";"21,17";"21,18";"21,15";"21,15";"20,73";"17,78";
"05-03-2025";"21,18";"21,19";"21,17";"21,17";"21,17";"21,18";"20,75";"17,83";
"04-03-2025";"21,13";"21,15";"21,13";"21,15";"21,14";"21,19";"20,81";"17,90";
"03-03-2025";"21,10";"21,12";"21,13";"21,15";"21,14";"21,18";"20,83";"17,94";
"28-02-2025";"21,09";"21,11";"21,12";"21,16";"21,15";"21,14";"20,88";"18,10";
"27-02-2025";"21,09";"21,11";"21,13";"21,16";"21,15";"21,13";"20,84";"18,12";
"26-02-2025";"21,07";"21,09";"21,12";"21,15";"21,12";"21,16";"20,92";"18,01";
"25-02-2025";"21,03";"21,06";"21,11";"21,14";"21,16";"21,21";"21,07";"18,31";
"24-02-2025";"21,01";"21,02";"21,08";"21,13";"21,15";"21,25";"21,24";"18,72";
"21-02-2025";"20,91";"20,95";"21,01";"21,09";"21,14";"21,31";"21,32";"18,77";
"20-02-2025";"20,91";"20,95";"21,02";"21,09";"21,14";"21,32";"21,35";"19,21";
"19-02-2025";"20,88";"20,92";"21,00";"21,09";"21,13";"21,34";"21,38";"19,35";
"18-02-2025";"20,84";"20,90";"20,98";"21,07";"21,12";"21,35";"21,34";"19,37";
"17-02-2025";"20,80";"20,87";"20,93";"21,05";"21,08";"21,27";"21,17";"19,29";
"14-02-2025";"20,78";"20,86";"20,94";"21,06";"21,12";"21,41";"21,46";"19,56";
"13-02-2025";"20,79";"20,85";"20,93";"21,04";"21,12";"21,52";"21,62";"19,64";
"12-02-2025";"20,79";"20,88";"20,95";"21,10";"21,19";"21,70";"21,82";"19,87";
"11-02-2025";"20,78";"20,88";"20,96";"21,10";"21,20";"21,69";"21,84";"19,86";
"10-02-2025";"20,77";"20,87";"20,97";"21,10";"21,21";"21,68";"21,86";"19,84";
"07-02-2025";"20,77";"20,86";"20,97";"21,13";"21,24";"21,68";"21,85";"19,82";
"06-02-2025";"20,78";"20,88";"21,00";"21,14";"21,26";"21,70";"21,86";"19,86";
"05-02-2025";"20,80";"20,90";"21,02";"21,17";"21,27";"21,71";"21,86";"19,93";
"04-02-2025";"20,82";"20,94";"21,04";"21,16";"21,29";"21,73";"21,86";"19,96";
"03-02-2025";"20,82";"20,94";"21,06";"21,17";"21,28";"21,73";"21,91";"19,97";
"31-01-2025";"20,83";"20,95";"21,07";"21,18";"21,32";"21,78";"21,96";"20,12";
"30-01-2025";"20,85";"20,98";"21,09";"21,20";"21,34";"21,81";"21,97";"20,16";
"29-01-2025";"20,92";"21,01";"21,13";"21,20";"21,36";"21,81";"21,96";"20,17";
"28-01-2025";"20,96";"21,01";"21,13";"21,21";"21,37";"21,84";"22,00";"20,24";
"27-01-2025";"20,98";"21,04";"21,13";"21,24";"21,41";"21,86";"22,02";"20,29";
"24-01-2025";"20,99";"21,04";"21,13";"21,24";"21,40";"21,87";"22,05";"20,43";
"23-01-2025";"21,02";"21,05";"21,13";"21,24";"21,40";"21,87";"22,08";"20,48";
"22-01-2025";"21,06";"21,09";"21,15";"21,25";"21,40";"21,88";"22,08";"20,68";
"21-01-2025";"21,06";"21,08";"21,13";"21,24";"21,40";"21,88";"22,11";"20,69";
"20-01-2025";"21,02";"21,04";"21,11";"21,22";"21,37";"21,88";"22,08";"20,67";
"17-01-2025";"20,83";"20,88";"21,04";"21,19";"21,44";"21,92";"22,04";"20,59";
"16-01-2025";"20,82";"20,89";"21,04";"21,17";"21,42";"21,89";"22,03";"20,60";
"15-01-2025";"20,82";"20,88";"21,02";"21,14";"21,38";"21,86";"22,02";"20,52";
"14-01-2025";"20,81";"20,88";"21,01";"21,14";"21,36";"21,81";"22,01";"20,40";
"13-01-2025";"20,82";"20,89";"21,02";"21,16";"21,36";"21,82";"21,99";"20,39";
"10-01-2025";"20,84";"20,90";"21,05";"21,15";"21,32";"21,75";"21,95";"20,54";
"09-01-2025";"20,86";"20,91";"21,06";"21,17";"21,32";"21,75";"21,95";"20,54";
"28-12-2024";"20,84";"20,91";"21,10";"21,19";"21,33";"21,79";"21,96";"20,56";
"27-12-2024";"20,80";"20,89";"21,08";"21,17";"21,31";"21,69";"21,87";"20,45";
"26-12-2024";"20,82";"20,90";"21,06";"21,18";"21,32";"21,69";"21,85";"20,45";
"25-12-2024";"20,80";"20,88";"21,07";"21,16";"21,32";"21,71";"21,95";"20,60";
"24-12-2024";"20,83";"20,93";"21,11";"21,20";"21,32";"21,78";"22,16";"21,09";
"23-12-2024";"20,84";"20,93";"21,11";"21,19";"21,33";"21,88";"22,73";"21,93";
"20-12-2024";"22,63";"22,93";"23,40";"23,60";"23,81";"25,24";"25,64";"24,28";
"19-12-2024";"22,35";"22,71";"23,10";"23,41";"23,71";"25,16";"25,65";"24,32";
"18-12-2024";"22,32";"22,65";"22,92";"23,19";"23,58";"25,11";"25,62";"24,40";
"17-12-2024";"22,31";"22,62";"22,80";"23,05";"23,41";"25,00";"25,75";"24,52";
"16-12-2024";"22,22";"22,28";"22,85";"22,98";"23,16";"25,01";"25,83";"24,70";
"13-12-2024";"21,98";"22,21";"22,96";"23,28";"23,55";"25,30";"25,97";"24,84";
"12-12-2024";"21,33";"21,61";"22,53";"23,30";"23,55";"25,28";"25,91";"24,80";
"11-12-2024";"21,19";"21,36";"22,36";"23,22";"23,52";"25,22";"25,97";"24,82";
"10-12-2024";"21,12";"21,31";"22,32";"23,23";"23,56";"25,29";"26,02";"24,84";
"09-12-2024";"21,17";"21,31";"22,28";"23,32";"23,65";"25,46";"25,98";"24,97";
"06-12-2024";"21,21";"21,31";"22,31";"23,42";"23,81";"25,60";"26,27";"25,20";
"05-12-2024";"21,19";"21,23";"22,10";"23,22";"23,57";"25,30";"26,25";"25,04";
"04-12-2024";"21,18";"21,22";"22,07";"23,22";"23,57";"25,28";"26,21";"25,02";
"03-12-2024";"21,18";"21,21";"21,99";"23,15";"23,52";"25,26";"26,20";"25,03";
"02-12-2024";"21,17";"21,21";"21,87";"23,02";"23,48";"25,22";"26,17";"25,02";
"29-11-2024";"21,09";"21,15";"21,66";"22,72";"23,30";"25,08";"25,95";"24,72";
"28-11-2024";"21,09";"21,15";"21,58";"22,54";"23,18";"25,00";"25,85";"24,52";
"27-11-2024";"21,09";"21,15";"21,49";"22,47";"23,15";"24,90";"25,86";"24,42";
"26-11-2024";"21,11";"21,15";"21,44";"22,42";"23,11";"24,89";"25,73";"24,31";
"25-11-2024";"21,09";"21,15";"21,39";"22,34";"22,99";"24,59";"25,42";"24,03";
"22-11-2024";"21,04";"21,13";"21,29";"22,23";"22,86";"24,05";"24,87";"23,57";
"21-11-2024";"21,04";"21,11";"21,23";"22,11";"22,63";"23,71";"24,66";"23,39";
"20-11-2024";"21,05";"21,11";"21,21";"21,97";"22,33";"23,44";"24,26";"23,17";
"19-11-2024";"21,02";"21,09";"21,19";"21,79";"22,14";"23,28";"24,13";"23,13";
"18-11-2024";"21,00";"21,08";"21,19";"21,67";"22,09";"23,24";"24,08";"23,03";
"15-11-2024";"21,00";"21,08";"21,19";"21,63";"22,03";"23,18";"24,00";"23,03";
"14-11-2024";"21,00";"21,08";"21,20";"21,65";"22,00";"23,17";"24,05";"23,12";
"13-11-2024";"20,99";"21,11";"21,26";"21,75";"22,03";"23,22";"24,27";"23,46";
"12-11-2024";"21,06";"21,14";"21,24";"21,81";"22,01";"23,29";"24,47";"23,81";
"11-11-2024";"20,94";"21,05";"21,20";"21,85";"22,11";"23,51";"24,69";"23,96";
"08-11-2024";"20,94";"21,05";"21,19";"21,84";"22,22";"23,53";"24,67";"23,93";
"07-11-2024";"20,94";"21,05";"21,19";"21,80";"22,21";"23,51";"24,62";"23,88";
"06-11-2024";"20,94";"21,05";"21,19";"21,76";"22,16";"23,46";"24,62";"23,88";
"05-11-2024";"20,94";"21,05";"21,17";"21,72";"22,06";"23,43";"24,53";"23,77";
"02-11-2024";"20,94";"21,04";"21,17";"21,66";"22,04";"23,33";"24,35";"23,54";
"01-11-2024";"20,93";"21,02";"21,14";"21,57";"21,97";"23,25";"24,25";"23,47";
"31-10-2024";"20,78";"20,89";"20,98";"21,21";"21,81";"23,03";"23,84";"23,16";
"30-10-2024";"20,64";"20,82";"20,91";"21,03";"21,64";"22,81";"23,40";"22,88";
"29-10-2024";"20,55";"20,78";"20,85";"20,96";"21,55";"22,68";"23,29";"22,70";
"28-10-2024";"20,52";"20,78";"20,81";"20,92";"21,46";"22,47";"23,18";"22,63";
"25-10-2024";"20,09";"20,41";"20,57";"20,74";"20,97";"21,67";"22,36";"21,91";
"24-10-2024";"19,55";"20,13";"20,32";"20,51";"20,79";"21,54";"22,29";"21,76";
"23-10-2024";"19,43";"20,03";"20,32";"20,51";"20,75";"21,55";"22,25";"21,69";
"22-10-2024";"19,39";"19,99";"20,31";"20,56";"20,97";"21,66";"22,25";"21,61";
"21-10-2024";"19,27";"19,79";"20,22";"20,54";"20,94";"21,61";"22,17";"21,54";
"18-10-2024";"19,19";"19,64";"20,17";"20,46";"20,90";"21,52";"22,08";"21,47";
"17-10-2024";"19,17";"19,52";"20,05";"20,39";"20,81";"21,47";"22,01";"21,38";
"16-10-2024";"18,91";"19,17";"19,91";"20,24";"20,64";"21,33";"21,88";"21,33";
"15-10-2024";"18,93";"19,09";"19,77";"20,18";"20,58";"21,22";"21,81";"21,27";
