history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
MMIX;RUSFAR;09.01.2018;RUSFAR;RUSFAR;7,5;7,5;7,5;7,5;;;;2;;RUB;;3;
MMIX;RUSFAR;10.01.2018;RUSFAR;RUSFAR;7,11;7,11;7,11;7,11;;;;2;;RUB;;3;
MMIX;RUSFAR;11.01.2018;RUSFAR;RUSFAR;7,12;7,12;7,12;7,12;;;;2;;RUB;;3;
MMIX;RUSFAR;12.01.2018;RUSFAR;RUSFAR;7,1;7,1;7,1;7,1;;;;2;;RUB;;3;
MMIX;RUSFAR;15.01.2018;RUSFAR;RUSFAR;7,19;7,19;7,19;7,19;;;;2;;RUB;;3;
MMIX;RUSFAR;16.01.2018;RUSFAR;RUSFAR;7,47;7,47;7,47;7,47;;;;2;;RUB;;3;
MMIX;RUSFAR;17.01.2018;RUSFAR;RUSFAR;7,36;7,36;7,36;7,36;;;;2;;RUB;;3;
MMIX;RUSFAR;18.01.2018;RUSFAR;RUSFAR;7,33;7,33;7,33;7,33;;;;2;;RUB;;3;
MMIX;RUSFAR;19.01.2018;RUSFAR;RUSFAR;7,25;7,25;7,25;7,25;;;;2;;RUB;;3;
MMIX;RUSFAR;22.01.2018;RUSFAR;RUSFAR;7,3;7,3;7,3;7,3;;;;2;;RUB;;3;
MMIX;RUSFAR;23.01.2018;RUSFAR;RUSFAR;7,09;7,09;7,09;7,09;;;;2;;RUB;;3;
MMIX;RUSFAR;24.01.2018;RUSFAR;RUSFAR;7;7;7;7;;;;2;;RUB;;3;
MMIX;RUSFAR;25.01.2018;RUSFAR;RUSFAR;7;7;7;7;;;;2;;RUB;;3;
MMIX;RUSFAR;26.01.2018;RUSFAR;RUSFAR;7,35;7,35;7,35;7,35;;;;2;;RUB;;3;
MMIX;RUSFAR;29.01.2018;RUSFAR;RUSFAR;7,36;7,36;7,36;7,36;;;;2;;RUB;;3;
MMIX;RUSFAR;30.01.2018;RUSFAR;RUSFAR;7,39;7,39;7,39;7,39;;;;2;;RUB;;3;
MMIX;RUSFAR;31.01.2018;RUSFAR;RUSFAR;7,49;7,49;7,49;7,49;;;;2;;RUB;;3;
MMIX;RUSFAR;01.02.2018;RUSFAR;RUSFAR;7,39;7,39;7,39;7,39;;;;2;;RUB;;3;
MMIX;RUSFAR;02.02.2018;RUSFAR;RUSFAR;7,29;7,29;7,29;7,29;;;;2;;RUB;;3;
MMIX;RUSFAR;05.02.2018;RUSFAR;RUSFAR;7,32;7,32;7,32;7,32;;;;2;;RUB;;3;
MMIX;RUSFAR;06.02.2018;RUSFAR;RUSFAR;7,29;7,29;7,29;7,29;;;;2;;RUB;;3;
MMIX;RUSFAR;07.02.2018;RUSFAR;RUSFAR;7,17;7,17;7,17;7,17;;;;2;;RUB;;3;
MMIX;RUSFAR;08.02.2018;RUSFAR;RUSFAR;7,09;7,09;7,09;7,09;;;;2;;RUB;;3;
MMIX;RUSFAR;09.02.2018;RUSFAR;RUSFAR;7,09;7,09;7,09;7,09;;;;2;;RUB;;3;
MMIX;RUSFAR;12.02.2018;RUSFAR;RUSFAR;7,01;7,01;7,01;7,01;;;;2;;RUB;;3;
MMIX;RUSFAR;13.02.2018;RUSFAR;RUSFAR;7;7;7;7;;;;2;;RUB;;3;
MMIX;RUSFAR;14.02.2018;RUSFAR;RUSFAR;7,18;7,18;7,18;7,18;;;;2;;RUB;;3;
MMIX;RUSFAR;15.02.2018;RUSFAR;RUSFAR;7,36;7,36;7,36;7,36;;;;2;;RUB;;3;
MMIX;RUSFAR;16.02.2018;RUSFAR;RUSFAR;7,37;7,37;7,37;7,37;;;;2;;RUB;;3;
MMIX;RUSFAR;19.02.2018;RUSFAR;RUSFAR;7,41;7,41;7,41;7,41;;;;2;;RUB;;3;
MMIX;RUSFAR;20.02.2018;RUSFAR;RUSFAR;7,4;7,4;7,4;7,4;;;;2;;RUB;;3;
MMIX;RUSFAR;21.02.2018;RUSFAR;RUSFAR;7,35;7,35;7,35;7,35;;;;2;;RUB;;3;
MMIX;RUSFAR;22.02.2018;RUSFAR;RUSFAR;7,2;7,2;7,2;7,2;;;;2;;RUB;;3;
MMIX;RUSFAR;26.02.2018;RUSFAR;RUSFAR;7,3;7,3;7,3;7,3;;;;2;;RUB;;3;
MMIX;RUSFAR;27.02.2018;RUSFAR;RUSFAR;7,41;7,41;7,41;7,41;;;;2;;RUB;;3;
MMIX;RUSFAR;28.02.2018;RUSFAR;RUSFAR;7,43;7,43;7,43;7,43;;;;2;;RUB;;3;
MMIX;RUSFAR;01.03.2018;RUSFAR;RUSFAR;7,4;7,4;7,4;7,4;;;;2;;RUB;;3;
MMIX;RUSFAR;02.03.2018;RUSFAR;RUSFAR;7,43;7,43;7,43;7,43;;;;2;;RUB;;3;
MMIX;RUSFAR;05.03.2018;RUSFAR;RUSFAR;7,32;7,32;7,32;7,32;;;;2;;RUB;;3;
MMIX;RUSFAR;06.03.2018;RUSFAR;RUSFAR;7,36;7,36;7,36;7,36;;;;2;;RUB;;3;
MMIX;RUSFAR;07.03.2018;RUSFAR;RUSFAR;7,27;7,27;7,27;7,27;;;;2;;RUB;;3;
